0.07778, -0.52897, 0.27295, 0.1870, -3.1069, -0.0844
0.13062, -0.53742, 0.32182, 1.2979, 2.1533, 0.3630
0.11892, -0.50510, 0.44290, 1.3269, -2.5979, 2.3856
0.06790, -0.41973, 0.47546, 0.9070, -0.7883, 2.9091
0.07758, -0.54520, 0.42969, 1.5003, 0.9957, -0.4515
0.04381, -0.57634, 0.36364, 2.1384, -0.5870, -0.2353
0.02418, -0.56043, 0.27092, 2.5066, 2.0520, -1.3324
0.04379, -0.43916, 0.23484, 3.9016, 1.0302, -0.2259
0.00565, -0.33604, 0.31288, 2.0509, 2.8651, 3.1410
-0.02952, -0.40052, 0.24401, 4.1393, 1.4432, -0.1011
0.00089, -0.49569, 0.25467, 2.6499, -0.5602, -1.5807
0.04186, -0.53220, 0.19961, 1.9713, 3.0907, -0.6546
0.07778, -0.52897, 0.27295, 0.1870, -3.1069, -0.0844
